               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  39,            0.023964,            0.032124,                   0,             0.30474,              0.7125,              0.2808,             0.10835,            0.046963,            0.056326,                   0,            0.011719,            0.011719,            0.011719
                  40,            0.023305,            0.033721,                   0,             0.40269,             0.88487,             0.45454,             0.15751,             0.04297,            0.042427,                   0,            0.011711,            0.011711,            0.011711
                  41,            0.023569,            0.032595,                   0,             0.45465,             0.85454,             0.45405,             0.18748,            0.036835,            0.032651,                   0,            0.011703,            0.011703,            0.011703
                  42,            0.022464,            0.032145,                   0,             0.44891,               0.875,             0.44975,             0.21995,            0.034155,             0.03759,                   0,            0.011695,            0.011695,            0.011695
                  43,            0.023644,            0.032463,                   0,              0.4635,                0.85,             0.44398,             0.21098,            0.036303,            0.043381,                   0,            0.011687,            0.011687,            0.011687
                  44,            0.021847,            0.032217,                   0,             0.29769,             0.72587,             0.27904,             0.12788,            0.030391,             0.05554,                   0,            0.011679,            0.011679,            0.011679
                  45,            0.023038,            0.032174,                   0,              0.4384,                 0.8,             0.55557,              0.2616,            0.033158,            0.037736,                   0,            0.011671,            0.011671,            0.011671
                  46,            0.023061,            0.031707,                   0,              0.4813,              0.6875,             0.52678,             0.21289,            0.041496,            0.036832,                   0,            0.011663,            0.011663,            0.011663
                  47,            0.022652,            0.031685,                   0,             0.58182,             0.71304,             0.67023,             0.22367,            0.038131,            0.032556,                   0,            0.011655,            0.011655,            0.011655
                  48,            0.021181,            0.031217,                   0,             0.42364,               0.525,             0.46214,              0.1464,            0.043236,            0.033685,                   0,            0.011647,            0.011647,            0.011647
                  49,            0.021368,            0.032084,                   0,             0.33238,              0.6875,              0.3985,               0.146,            0.036486,            0.032775,                   0,            0.011639,            0.011639,            0.011639
                  50,            0.020523,            0.031481,                   0,              0.3586,              0.6875,             0.35584,             0.16873,            0.035022,            0.028549,                   0,            0.011631,            0.011631,            0.011631
                  51,            0.021566,            0.030769,                   0,             0.45383,                 0.9,             0.61676,             0.33867,            0.026343,            0.026553,                   0,            0.011623,            0.011623,            0.011623
                  52,            0.022431,            0.032111,                   0,             0.62454,             0.68617,             0.72067,             0.38404,            0.026338,            0.029045,                   0,            0.011615,            0.011615,            0.011615
                  53,            0.020759,            0.031056,                   0,             0.50996,              0.7625,             0.72667,             0.43009,            0.024984,            0.026648,                   0,            0.011607,            0.011607,            0.011607
                  54,            0.021478,            0.030464,                   0,             0.70169,               0.775,             0.79013,             0.45043,            0.024888,            0.028484,                   0,              0.0116,              0.0116,              0.0116
                  55,            0.021185,            0.030322,                   0,             0.81944,               0.775,             0.82184,             0.44003,            0.027003,            0.026116,                   0,            0.011592,            0.011592,            0.011592
                  56,            0.019199,            0.031665,                   0,             0.67862,             0.73906,             0.74512,             0.37191,            0.028285,            0.026546,                   0,            0.011584,            0.011584,            0.011584
                  57,            0.019284,            0.031106,                   0,             0.72125,               0.775,             0.80182,             0.40701,             0.02823,            0.024463,                   0,            0.011576,            0.011576,            0.011576
                  58,            0.019069,            0.030109,                   0,             0.61072,              0.7875,             0.70561,             0.45046,            0.022142,            0.023337,                   0,            0.011568,            0.011568,            0.011568
                  59,            0.022088,            0.030278,                   0,             0.50558,                 0.9,             0.56791,             0.35992,            0.021626,            0.023621,                   0,             0.01156,             0.01156,             0.01156
                  60,            0.018768,            0.031345,                   0,             0.54539,                 0.9,             0.55575,             0.30819,            0.024137,            0.026699,                   0,            0.011552,            0.011552,            0.011552
                  61,             0.01911,            0.030905,                   0,             0.60965,              0.8875,             0.65909,             0.36589,            0.023318,            0.028222,                   0,            0.011544,            0.011544,            0.011544
                  62,            0.019709,            0.030296,                   0,             0.56247,              0.8875,             0.60353,             0.35928,            0.025696,            0.027493,                   0,            0.011536,            0.011536,            0.011536
                  63,            0.021174,            0.029846,                   0,             0.51999,               0.925,             0.62336,             0.37911,            0.023159,            0.025883,                   0,            0.011528,            0.011528,            0.011528
                  64,            0.021199,            0.029211,                   0,             0.62025,              0.7875,             0.70431,             0.41538,            0.022914,            0.023876,                   0,             0.01152,             0.01152,             0.01152
                  65,             0.02062,            0.028079,                   0,                0.51,               0.975,             0.63544,             0.38627,            0.021295,            0.020809,                   0,            0.011512,            0.011512,            0.011512
                  66,            0.018208,            0.029904,                   0,             0.57285,              0.8375,             0.66246,             0.42945,            0.021208,              0.0207,                   0,            0.011504,            0.011504,            0.011504
                  67,            0.018613,            0.030698,                   0,             0.53788,              0.8875,             0.65242,             0.38381,            0.022167,            0.021224,                   0,            0.011496,            0.011496,            0.011496
                  68,            0.019212,            0.029293,                   0,             0.52511,                 0.9,             0.54758,             0.32958,            0.022247,            0.022088,                   0,            0.011488,            0.011488,            0.011488
                  69,            0.019162,            0.030934,                   0,             0.55397,              0.8875,             0.60677,             0.36107,             0.02048,            0.019338,                   0,            0.011481,            0.011481,            0.011481
                  70,            0.018851,            0.031103,                   0,             0.56313,              0.8875,             0.60297,             0.37135,            0.020465,            0.019403,                   0,            0.011473,            0.011473,            0.011473
                  71,            0.019162,            0.029511,                   0,             0.49092,             0.92819,             0.54373,             0.33371,            0.022004,            0.023785,                   0,            0.011465,            0.011465,            0.011465
                  72,            0.019656,            0.030278,                   0,             0.55505,             0.87321,             0.57006,             0.34256,            0.019512,             0.02133,                   0,            0.011457,            0.011457,            0.011457
                  73,            0.019245,            0.030673,                   0,             0.55383,              0.9375,             0.56169,              0.3217,            0.021112,            0.022099,                   0,            0.011449,            0.011449,            0.011449
                  74,            0.018796,            0.029787,                   0,              0.4744,               0.875,             0.46163,             0.24594,            0.029803,             0.02035,                   0,            0.011441,            0.011441,            0.011441
                  75,            0.019328,            0.030325,                   0,             0.53808,              0.8875,             0.60374,             0.37742,             0.02216,            0.019811,                   0,            0.011433,            0.011433,            0.011433
                  76,            0.017957,            0.029266,                   0,             0.58908,              0.8375,             0.72774,             0.45151,            0.022511,            0.019771,                   0,            0.011425,            0.011425,            0.011425
                  77,            0.018005,            0.029589,                   0,             0.55151,              0.9375,             0.63865,              0.4182,            0.021438,            0.020838,                   0,            0.011417,            0.011417,            0.011417
                  78,            0.018156,            0.029516,                   0,             0.58094,              0.9375,             0.72431,             0.45604,            0.021303,            0.019895,                   0,            0.011409,            0.011409,            0.011409
                  79,            0.019087,            0.031073,                   0,             0.55617,             0.90851,             0.58296,             0.36474,            0.020743,             0.01948,                   0,            0.011401,            0.011401,            0.011401
                  80,            0.018989,            0.030089,                   0,             0.57638,             0.91843,              0.6792,             0.33689,            0.021577,            0.022299,                   0,            0.011393,            0.011393,            0.011393
                  81,            0.019066,            0.029856,                   0,             0.63848,              0.8375,             0.73321,             0.45416,            0.021366,            0.021119,                   0,            0.011385,            0.011385,            0.011385
                  82,            0.018035,            0.028768,                   0,             0.52321,             0.90534,             0.66028,             0.39768,            0.021805,            0.024029,                   0,            0.011377,            0.011377,            0.011377
                  83,             0.01752,            0.029736,                   0,             0.64887,               0.825,             0.75704,              0.4273,            0.023898,              0.0229,                   0,            0.011369,            0.011369,            0.011369
                  84,            0.018392,            0.030152,                   0,             0.63572,              0.8375,             0.74445,             0.37079,            0.025717,            0.023312,                   0,            0.011362,            0.011362,            0.011362
                  85,            0.017305,            0.028961,                   0,             0.67638,              0.7875,             0.78483,              0.4343,            0.022233,            0.021545,                   0,            0.011354,            0.011354,            0.011354
                  86,             0.01759,            0.029157,                   0,             0.78817,              0.7442,             0.84473,              0.5662,            0.022048,            0.019461,                   0,            0.011346,            0.011346,            0.011346
                  87,            0.017471,            0.028879,                   0,             0.80498,              0.7625,             0.85739,             0.58196,            0.021081,            0.019207,                   0,            0.011338,            0.011338,            0.011338
                  88,            0.017855,            0.029654,                   0,             0.52159,               0.875,             0.68452,             0.39737,             0.02578,            0.020569,                   0,             0.01133,             0.01133,             0.01133
                  89,            0.018161,            0.029206,                   0,             0.51119,              0.8375,             0.54099,             0.32141,            0.022968,            0.021716,                   0,            0.011322,            0.011322,            0.011322
                  90,            0.017003,            0.029654,                   0,             0.55259,              0.8875,               0.621,             0.38001,            0.019531,            0.021177,                   0,            0.011314,            0.011314,            0.011314
                  91,            0.016725,            0.028124,                   0,              0.5475,             0.89236,             0.58779,             0.32714,            0.022199,            0.021301,                   0,            0.011306,            0.011306,            0.011306
                  92,            0.017409,            0.029326,                   0,             0.55442,                0.85,             0.61387,             0.31055,            0.023835,            0.021199,                   0,            0.011298,            0.011298,            0.011298
                  93,             0.01872,            0.029361,                   0,             0.61187,              0.8875,             0.77923,             0.45547,            0.020362,            0.019662,                   0,             0.01129,             0.01129,             0.01129
                  94,            0.017853,            0.029561,                   0,             0.66828,               0.875,             0.76704,             0.47323,            0.018175,             0.01937,                   0,            0.011282,            0.011282,            0.011282
                  95,            0.017633,            0.030039,                   0,             0.64068,                0.85,             0.71098,              0.4763,            0.018122,            0.019123,                   0,            0.011274,            0.011274,            0.011274
                  96,            0.016601,            0.029423,                   0,             0.64263,             0.83169,             0.71103,              0.4814,            0.018017,            0.018875,                   0,            0.011266,            0.011266,            0.011266
                  97,            0.017884,            0.028283,                   0,             0.67111,              0.8125,             0.80579,             0.50976,            0.021127,            0.017578,                   0,            0.011258,            0.011258,            0.011258
                  98,            0.019178,            0.028775,                   0,             0.77527,             0.86244,             0.82805,             0.50523,            0.020445,            0.018157,                   0,             0.01125,             0.01125,             0.01125
                  99,            0.016726,            0.029109,                   0,             0.76278,               0.775,             0.82018,             0.59038,            0.017613,             0.01787,                   0,            0.011243,            0.011243,            0.011243
                 100,            0.018089,            0.028366,                   0,             0.70405,                 0.8,              0.8334,             0.58148,            0.018266,            0.017928,                   0,            0.011235,            0.011235,            0.011235
                 101,            0.017899,            0.027717,                   0,             0.69371,             0.82103,             0.81798,             0.59215,            0.017631,            0.017932,                   0,            0.011227,            0.011227,            0.011227
                 102,            0.018266,            0.027928,                   0,             0.57332,              0.8875,             0.60767,             0.40934,            0.018134,            0.019957,                   0,            0.011219,            0.011219,            0.011219
                 103,            0.017349,              0.0281,                   0,             0.52467,                0.95,             0.55121,              0.3598,            0.019627,            0.023064,                   0,            0.011211,            0.011211,            0.011211
                 104,            0.018609,             0.02876,                   0,             0.53148,               0.975,             0.59214,             0.37163,            0.021503,            0.020223,                   0,            0.011203,            0.011203,            0.011203
                 105,            0.017759,            0.028113,                   0,             0.51558,              0.9625,             0.66677,             0.44853,            0.019671,            0.018766,                   0,            0.011195,            0.011195,            0.011195
                 106,            0.017415,            0.028177,                   0,             0.52539,             0.95481,              0.6675,             0.45972,            0.018798,            0.019319,                   0,            0.011187,            0.011187,            0.011187
                 107,            0.016773,            0.028364,                   0,              0.5027,             0.94769,             0.55435,             0.33791,            0.019381,            0.021953,                   0,            0.011179,            0.011179,            0.011179
                 108,            0.016715,            0.028837,                   0,             0.52153,             0.91288,             0.56598,             0.33777,            0.018819,            0.020886,                   0,            0.011171,            0.011171,            0.011171
                 109,            0.016647,            0.029389,                   0,             0.54301,               0.875,             0.62889,              0.3707,            0.018751,            0.020248,                   0,            0.011163,            0.011163,            0.011163
                 110,             0.01844,            0.028827,                   0,             0.58947,              0.8875,             0.72467,             0.45948,            0.019743,            0.018966,                   0,            0.011155,            0.011155,            0.011155
                 111,            0.016857,            0.027525,                   0,             0.61755,                 0.9,             0.71787,             0.48547,            0.017372,            0.018489,                   0,            0.011147,            0.011147,            0.011147
                 112,            0.017022,            0.027548,                   0,             0.60179,                0.85,             0.66636,             0.43764,            0.019453,            0.019156,                   0,            0.011139,            0.011139,            0.011139
                 113,            0.016198,            0.028409,                   0,             0.63388,              0.8875,             0.73495,             0.44149,             0.02121,            0.021778,                   0,            0.011131,            0.011131,            0.011131
                 114,            0.016916,            0.028427,                   0,             0.59482,              0.9375,              0.6656,             0.40811,            0.017875,            0.020612,                   0,            0.011124,            0.011124,            0.011124
                 115,            0.017741,              0.0287,                   0,             0.66193,               0.875,             0.71564,              0.4374,            0.019791,            0.021101,                   0,            0.011116,            0.011116,            0.011116
                 116,            0.016937,            0.027805,                   0,             0.67749,             0.86654,             0.79797,             0.50839,            0.020375,            0.019953,                   0,            0.011108,            0.011108,            0.011108
                 117,            0.015778,            0.028295,                   0,             0.66077,             0.87655,             0.77314,             0.49298,            0.022454,            0.019811,                   0,              0.0111,              0.0111,              0.0111
                 118,            0.017005,            0.029119,                   0,             0.71292,              0.8625,             0.78893,              0.5743,            0.019272,              0.0174,                   0,            0.011092,            0.011092,            0.011092
                 119,            0.016777,            0.029115,                   0,              0.6868,             0.90456,             0.82735,             0.62127,            0.016957,            0.017134,                   0,            0.011084,            0.011084,            0.011084
                 120,            0.016266,            0.028404,                   0,             0.70803,             0.84878,              0.8044,             0.57567,             0.01816,            0.018919,                   0,            0.011076,            0.011076,            0.011076
                 121,             0.01695,            0.028013,                   0,             0.63662,                 0.8,             0.73744,             0.50433,            0.017977,            0.018795,                   0,            0.011068,            0.011068,            0.011068
                 122,            0.016799,             0.02903,                   0,             0.58586,              0.9125,             0.63198,             0.42711,            0.019052,            0.018937,                   0,             0.01106,             0.01106,             0.01106
                 123,             0.01793,             0.02772,                   0,             0.61777,              0.8875,             0.77912,             0.48561,            0.024227,            0.020339,                   0,            0.011052,            0.011052,            0.011052
                 124,            0.016622,            0.028829,                   0,             0.64694,                 0.9,             0.80023,             0.56103,            0.019319,            0.020208,                   0,            0.011044,            0.011044,            0.011044
                 125,            0.016702,            0.028149,                   0,             0.74169,               0.875,             0.86675,             0.61424,            0.018636,            0.018602,                   0,            0.011036,            0.011036,            0.011036
                 126,            0.017969,            0.027687,                   0,             0.72617,              0.8625,             0.84536,             0.58666,            0.018773,            0.019538,                   0,            0.011028,            0.011028,            0.011028
                 127,            0.017829,             0.02872,                   0,             0.62776,               0.925,             0.75992,             0.53196,            0.018341,             0.01866,                   0,             0.01102,             0.01102,             0.01102
                 128,            0.016511,            0.029098,                   0,             0.56272,              0.9125,             0.64762,             0.46733,            0.017477,            0.019137,                   0,            0.011012,            0.011012,            0.011012
                 129,            0.017052,            0.027412,                   0,             0.54999,              0.8625,             0.55419,             0.36369,            0.019274,             0.02184,                   0,            0.011005,            0.011005,            0.011005
                 130,            0.016847,            0.028619,                   0,             0.51327,               0.875,             0.51189,             0.35227,            0.017683,            0.023494,                   0,            0.010997,            0.010997,            0.010997
                 131,            0.016843,            0.027167,                   0,             0.48424,               0.775,             0.45102,             0.30876,            0.018858,             0.02616,                   0,            0.010989,            0.010989,            0.010989
                 132,            0.015965,            0.028559,                   0,             0.50761,             0.83763,             0.49619,             0.35677,            0.017322,            0.023563,                   0,            0.010981,            0.010981,            0.010981
                 133,            0.016352,            0.027839,                   0,             0.55228,             0.90975,             0.53835,             0.36725,            0.019126,            0.020656,                   0,            0.010973,            0.010973,            0.010973
                 134,            0.016098,             0.02683,                   0,             0.51779,              0.8375,             0.52299,             0.34886,            0.020156,            0.023446,                   0,            0.010965,            0.010965,            0.010965
                 135,            0.017025,            0.027784,                   0,             0.50465,             0.80231,             0.51678,             0.30495,            0.021747,            0.026331,                   0,            0.010957,            0.010957,            0.010957
                 136,            0.016705,            0.028639,                   0,             0.55474,              0.7875,               0.589,             0.33168,            0.019742,            0.025268,                   0,            0.010949,            0.010949,            0.010949
                 137,            0.015752,            0.028501,                   0,              0.5605,               0.775,             0.56278,             0.37001,            0.018148,            0.023133,                   0,            0.010941,            0.010941,            0.010941
                 138,             0.01679,            0.028409,                   0,             0.53199,              0.8125,             0.59327,              0.3904,            0.019001,            0.022477,                   0,            0.010933,            0.010933,            0.010933
                 139,            0.016363,             0.02799,                   0,             0.54144,              0.8375,             0.54623,             0.33734,             0.02137,            0.024015,                   0,            0.010925,            0.010925,            0.010925
                 140,            0.016917,            0.027277,                   0,             0.67192,             0.84486,             0.68007,             0.44132,            0.017426,            0.019283,                   0,            0.010917,            0.010917,            0.010917
                 141,            0.015785,            0.027582,                   0,             0.72094,               0.825,              0.6986,             0.44678,            0.019208,            0.021031,                   0,            0.010909,            0.010909,            0.010909
                 142,            0.016993,            0.027015,                   0,             0.55609,             0.84561,             0.56924,               0.387,            0.017587,            0.021465,                   0,            0.010901,            0.010901,            0.010901
                 143,            0.016604,            0.025431,                   0,              0.5337,              0.7625,             0.55445,             0.36001,            0.020524,            0.019458,                   0,            0.010893,            0.010893,            0.010893
                 144,            0.016482,            0.027515,                   0,             0.63426,             0.86712,             0.69815,             0.47184,            0.017265,            0.017779,                   0,            0.010886,            0.010886,            0.010886
                 145,            0.015631,            0.027247,                   0,             0.69255,              0.8729,             0.77933,             0.60304,            0.016382,            0.016897,                   0,            0.010878,            0.010878,            0.010878
                 146,            0.015254,            0.027034,                   0,             0.66058,              0.8375,             0.73418,             0.54182,            0.018897,            0.017549,                   0,             0.01087,             0.01087,             0.01087
                 147,            0.016011,            0.026565,                   0,             0.77794,                0.85,             0.87249,             0.62216,            0.018064,            0.018627,                   0,            0.010862,            0.010862,            0.010862
