               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.10871,            0.037691,                   0,            0.041794,              0.0625,            0.030195,           0.0077763,             0.11091,            0.026011,                   0,            0.090318,           0.0004808,           0.0004808
                   1,             0.10397,            0.038634,                   0,             0.02206,              0.0375,            0.021458,           0.0041285,             0.10482,            0.023756,                   0,            0.086237,           0.0010797,           0.0010797
                   2,            0.093288,            0.039072,                   0,           0.0058684,                 0.9,            0.024532,           0.0061836,            0.092409,            0.023851,                   0,            0.082155,           0.0016761,           0.0016761
                   3,            0.082078,             0.04135,                   0,           0.0062128,                0.95,             0.08197,            0.020245,            0.078635,            0.024892,                   0,             0.07807,           0.0022702,           0.0022702
                   4,            0.071303,            0.043928,                   0,               0.191,              0.5875,             0.25069,            0.081197,             0.06394,            0.026983,                   0,            0.073983,            0.002862,            0.002862
                   5,            0.063468,            0.046936,                   0,             0.33258,             0.41111,             0.27885,             0.09426,            0.057822,            0.027573,                   0,            0.069893,           0.0034513,           0.0034513
                   6,            0.059255,            0.046407,                   0,             0.36219,             0.31232,             0.30653,             0.11291,            0.057082,            0.027223,                   0,            0.065801,           0.0040382,           0.0040382
                   7,            0.055431,            0.043674,                   0,             0.28946,                 0.5,             0.32857,             0.11378,            0.052524,             0.02777,                   0,            0.061707,           0.0046228,           0.0046228
                   8,             0.05342,            0.044499,                   0,             0.34549,             0.57406,             0.34325,             0.13181,            0.058463,            0.025206,                   0,             0.05761,            0.005205,            0.005205
                   9,            0.051468,            0.044721,                   0,             0.21884,              0.6625,             0.25252,            0.081226,            0.048054,            0.027406,                   0,            0.053511,           0.0057848,           0.0057848
                  10,            0.052471,            0.040771,                   0,             0.35035,              0.4125,             0.28732,            0.082879,            0.068677,            0.023104,                   0,            0.049409,           0.0063623,           0.0063623
                  11,            0.052315,            0.042939,                   0,             0.57288,             0.50301,             0.56676,             0.20976,            0.040093,            0.028171,                   0,            0.045305,           0.0069373,           0.0069373
                  12,            0.049197,            0.042331,                   0,             0.54929,               0.475,             0.46026,             0.11211,            0.072012,            0.021698,                   0,            0.041199,             0.00751,             0.00751
                  13,            0.047543,            0.043716,                   0,             0.48361,                 0.5,             0.51086,             0.21979,            0.048433,            0.025781,                   0,             0.03709,           0.0080803,           0.0080803
                  14,            0.046052,             0.04251,                   0,              0.5841,             0.54426,             0.57482,             0.20018,            0.055588,            0.023363,                   0,            0.032979,           0.0086482,           0.0086482
                  15,            0.046151,            0.039447,                   0,             0.55404,              0.6875,             0.54337,             0.21928,            0.043814,             0.02487,                   0,            0.028866,           0.0092138,           0.0092138
                  16,            0.046254,            0.039984,                   0,             0.67594,             0.57363,             0.63805,             0.25395,             0.04887,            0.023213,                   0,             0.02475,           0.0097769,           0.0097769
                  17,            0.045079,            0.037989,                   0,             0.62774,               0.625,             0.61626,             0.26244,            0.041106,            0.024178,                   0,            0.020632,            0.010338,            0.010338
                  18,            0.042993,            0.039601,                   0,             0.46838,              0.1375,              0.1784,            0.038103,            0.069198,            0.021927,                   0,            0.016511,            0.010896,            0.010896
                  19,            0.041253,            0.036805,                   0,             0.33792,             0.33814,                0.27,            0.084422,            0.061868,            0.021614,                   0,            0.012388,            0.011452,            0.011452
                  20,            0.039832,            0.035894,                   0,             0.47556,              0.5875,             0.44146,             0.17743,            0.067779,            0.026695,                   0,            0.011544,            0.011544,            0.011544
                  21,            0.038829,              0.0352,                   0,             0.69774,              0.4625,             0.52764,             0.20831,            0.045373,            0.031966,                   0,            0.011544,            0.011544,            0.011544
                  22,             0.03666,            0.035006,                   0,             0.67524,             0.33788,             0.44228,             0.17897,             0.05696,            0.048619,                   0,             0.01152,             0.01152,             0.01152
                  23,            0.034224,            0.034367,                   0,              0.5486,              0.4125,             0.44213,              0.1947,            0.045859,            0.099271,                   0,            0.011496,            0.011496,            0.011496
                  24,            0.036338,            0.033641,                   0,             0.50505,              0.4375,             0.43542,             0.16615,            0.052892,              0.1858,                   0,            0.011473,            0.011473,            0.011473
                  25,            0.033552,            0.034552,                   0,             0.56488,              0.5125,             0.46834,             0.22126,            0.045094,             0.25954,                   0,            0.011449,            0.011449,            0.011449
                  26,             0.03249,            0.032292,                   0,             0.59379,              0.4375,             0.46742,             0.18747,            0.050068,             0.20685,                   0,            0.011425,            0.011425,            0.011425
                  27,            0.034084,            0.033787,                   0,             0.62106,                 0.4,             0.46797,              0.1984,             0.05881,              0.1691,                   0,            0.011401,            0.011401,            0.011401
                  28,            0.029548,            0.034091,                   0,              0.4732,               0.475,             0.40154,              0.1475,            0.065126,             0.16468,                   0,            0.011377,            0.011377,            0.011377
                  29,            0.028659,            0.034717,                   0,            0.091579,              0.2625,            0.060565,            0.021679,            0.067422,             0.10911,                   0,            0.011354,            0.011354,            0.011354
                  30,            0.027537,            0.032772,                   0,             0.18287,                 0.5,             0.17241,            0.068177,            0.055281,            0.094434,                   0,             0.01133,             0.01133,             0.01133
                  31,            0.028994,            0.032524,                   0,              0.3525,             0.46957,             0.33073,             0.10799,            0.049872,             0.10571,                   0,            0.011306,            0.011306,            0.011306
                  32,            0.026835,            0.033606,                   0,             0.11059,               0.525,             0.11881,             0.04104,            0.057247,             0.10108,                   0,            0.011282,            0.011282,            0.011282
                  33,            0.025707,            0.033406,                   0,             0.37091,               0.425,             0.43817,             0.15443,            0.061813,            0.085116,                   0,            0.011258,            0.011258,            0.011258
                  34,            0.026292,             0.03322,                   0,             0.42103,               0.475,             0.44757,             0.13469,            0.057273,             0.10578,                   0,            0.011235,            0.011235,            0.011235
                  35,            0.024813,            0.033164,                   0,             0.69426,              0.3375,               0.518,             0.19588,            0.050166,            0.083018,                   0,            0.011211,            0.011211,            0.011211
                  36,            0.023827,             0.03289,                   0,             0.29776,                0.65,             0.42577,             0.21326,            0.038962,            0.058913,                   0,            0.011187,            0.011187,            0.011187
                  37,            0.023195,            0.031657,                   0,               0.409,               0.825,             0.48645,             0.23793,            0.036951,            0.049457,                   0,            0.011163,            0.011163,            0.011163
                  38,            0.022439,            0.031795,                   0,             0.42222,                 0.8,             0.42815,             0.18092,            0.039924,            0.040737,                   0,            0.011139,            0.011139,            0.011139
                  39,            0.024196,            0.032568,                   0,             0.39797,              0.7875,             0.37521,             0.17895,            0.040056,            0.038063,                   0,            0.011116,            0.011116,            0.011116
                  40,            0.023655,            0.033147,                   0,             0.44591,               0.875,             0.43055,             0.17944,            0.035102,            0.036067,                   0,            0.011092,            0.011092,            0.011092
                  41,            0.023647,            0.032344,                   0,             0.41394,               0.725,             0.40643,             0.17295,            0.042088,            0.044649,                   0,            0.011068,            0.011068,            0.011068
                  42,            0.022544,            0.031845,                   0,              0.4331,                0.75,             0.49055,             0.17931,            0.046998,            0.046936,                   0,            0.011044,            0.011044,            0.011044
                  43,            0.024118,            0.032395,                   0,             0.44039,             0.80665,             0.46027,              0.1799,            0.044762,            0.039404,                   0,             0.01102,             0.01102,             0.01102
                  44,            0.022854,            0.032231,                   0,             0.47992,               0.775,             0.44294,             0.17488,            0.042181,             0.03641,                   0,            0.010997,            0.010997,            0.010997
                  45,            0.022111,            0.031919,                   0,             0.62486,                0.75,             0.66063,             0.25256,            0.038867,            0.033583,                   0,            0.010973,            0.010973,            0.010973
                  46,            0.021689,            0.031736,                   0,             0.58376,              0.6625,             0.55765,             0.24871,            0.039706,            0.031143,                   0,            0.010949,            0.010949,            0.010949
                  47,            0.021763,            0.031109,                   0,             0.73868,                 0.8,             0.81408,             0.38335,            0.031822,            0.027595,                   0,            0.010925,            0.010925,            0.010925
                  48,             0.02147,            0.031171,                   0,              0.4986,              0.8204,             0.63017,             0.23195,            0.035515,            0.030968,                   0,            0.010901,            0.010901,            0.010901
                  49,            0.021894,            0.031943,                   0,             0.46475,               0.675,             0.59928,             0.28373,            0.031563,            0.029606,                   0,            0.010878,            0.010878,            0.010878
                  50,            0.020639,            0.030736,                   0,             0.43497,             0.70248,             0.46538,             0.20337,             0.03351,            0.029496,                   0,            0.010854,            0.010854,            0.010854
                  51,            0.021121,            0.030713,                   0,             0.51196,              0.8375,             0.66524,             0.36866,            0.029167,            0.025344,                   0,             0.01083,             0.01083,             0.01083
                  52,            0.021701,            0.031699,                   0,              0.5619,             0.83369,             0.68097,             0.39891,            0.028142,            0.025286,                   0,            0.010806,            0.010806,            0.010806
                  53,             0.02002,            0.030878,                   0,             0.54858,              0.8375,             0.66536,             0.37212,            0.030488,            0.027151,                   0,            0.010782,            0.010782,            0.010782
                  54,            0.020993,            0.030025,                   0,             0.66521,             0.81964,             0.75308,              0.4485,             0.02524,            0.022029,                   0,            0.010759,            0.010759,            0.010759
                  55,            0.019995,             0.03038,                   0,             0.61619,              0.7626,             0.69268,             0.39148,            0.023794,            0.021964,                   0,            0.010735,            0.010735,            0.010735
                  56,            0.019761,            0.031586,                   0,             0.51699,             0.85631,             0.63193,             0.39106,            0.022222,            0.022732,                   0,            0.010711,            0.010711,            0.010711
                  57,            0.018925,             0.03141,                   0,                0.49,              0.8527,             0.54343,             0.27597,             0.02656,            0.023118,                   0,            0.010687,            0.010687,            0.010687
                  58,            0.019687,            0.030129,                   0,             0.45422,             0.83226,             0.46332,             0.26852,            0.025676,            0.026692,                   0,            0.010663,            0.010663,            0.010663
                  59,            0.021066,             0.03048,                   0,             0.47993,               0.925,             0.49409,             0.29079,            0.024197,            0.026233,                   0,             0.01064,             0.01064,             0.01064
                  60,            0.018787,            0.030968,                   0,             0.47722,             0.92428,              0.4787,             0.26331,            0.024765,            0.025792,                   0,            0.010616,            0.010616,            0.010616
                  61,            0.019202,            0.030496,                   0,             0.48483,               0.925,             0.50995,             0.28508,            0.027417,            0.025067,                   0,            0.010592,            0.010592,            0.010592
                  62,            0.019512,            0.030171,                   0,             0.49691,               0.925,             0.51946,             0.30222,            0.026499,            0.023927,                   0,            0.010568,            0.010568,            0.010568
                  63,            0.020468,            0.029932,                   0,             0.49429,                0.85,             0.52937,             0.30248,            0.024459,            0.024167,                   0,            0.010544,            0.010544,            0.010544
                  64,            0.020689,            0.029496,                   0,             0.46469,               0.875,             0.55968,             0.30463,            0.023622,            0.025184,                   0,            0.010521,            0.010521,            0.010521
                  65,            0.020274,            0.027896,                   0,             0.42974,             0.80068,             0.54141,             0.30304,            0.027557,            0.024255,                   0,            0.010497,            0.010497,            0.010497
                  66,            0.018218,            0.030055,                   0,             0.53954,               0.925,             0.67385,             0.40663,            0.024255,            0.019997,                   0,            0.010473,            0.010473,            0.010473
                  67,            0.018086,            0.030856,                   0,             0.55114,              0.8125,               0.714,              0.4675,            0.020748,            0.020113,                   0,            0.010449,            0.010449,            0.010449
                  68,            0.019717,            0.029613,                   0,             0.52301,              0.8625,             0.60402,              0.3901,             0.02114,            0.021228,                   0,            0.010425,            0.010425,            0.010425
                  69,            0.018094,            0.030764,                   0,             0.55521,              0.8875,             0.63898,             0.41892,            0.020492,            0.020704,                   0,            0.010402,            0.010402,            0.010402
                  70,            0.018563,             0.03118,                   0,             0.55136,              0.9125,             0.57516,             0.41372,             0.02221,            0.019629,                   0,            0.010378,            0.010378,            0.010378
                  71,            0.018953,            0.029548,                   0,             0.50346,             0.87452,             0.51204,             0.30988,            0.024804,            0.026677,                   0,            0.010354,            0.010354,            0.010354
                  72,            0.019371,              0.0304,                   0,             0.56885,             0.92357,             0.60343,             0.39175,            0.020027,            0.022507,                   0,             0.01033,             0.01033,             0.01033
                  73,            0.018953,            0.030761,                   0,             0.56477,              0.9375,             0.59624,             0.36162,            0.022173,             0.02125,                   0,            0.010306,            0.010306,            0.010306
                  74,             0.01955,            0.029607,                   0,             0.60342,              0.9125,             0.60309,             0.38139,            0.021844,            0.020033,                   0,            0.010283,            0.010283,            0.010283
                  75,            0.018522,            0.030206,                   0,             0.59626,             0.92303,             0.63113,              0.4074,            0.021272,            0.019491,                   0,            0.010259,            0.010259,            0.010259
                  76,            0.017324,            0.029007,                   0,             0.55805,               0.925,             0.56245,             0.38781,            0.023615,            0.018937,                   0,            0.010235,            0.010235,            0.010235
                  77,            0.017301,            0.029629,                   0,             0.55737,             0.91293,              0.5548,             0.34773,            0.025914,            0.024947,                   0,            0.010211,            0.010211,            0.010211
                  78,            0.017821,            0.029384,                   0,             0.65234,              0.8625,             0.78594,             0.53535,            0.020966,            0.020358,                   0,            0.010187,            0.010187,            0.010187
                  79,            0.018411,            0.031349,                   0,             0.60667,              0.8875,              0.7176,             0.48495,             0.02048,            0.020361,                   0,            0.010164,            0.010164,            0.010164
                  80,             0.01768,            0.030069,                   0,             0.62127,                 0.8,             0.77838,             0.54057,             0.01954,            0.017804,                   0,             0.01014,             0.01014,             0.01014
                  81,            0.018619,            0.029831,                   0,             0.65591,              0.7875,              0.7955,             0.56655,            0.020288,            0.017757,                   0,            0.010116,            0.010116,            0.010116
                  82,            0.017816,            0.028466,                   0,             0.67336,               0.825,             0.80195,             0.58325,            0.020004,            0.017757,                   0,            0.010092,            0.010092,            0.010092
                  83,            0.016933,            0.029577,                   0,             0.72606,             0.72891,             0.85286,             0.62998,            0.021457,            0.018176,                   0,            0.010068,            0.010068,            0.010068
                  84,             0.01748,            0.030006,                   0,             0.62223,                0.65,             0.63192,             0.42326,             0.02513,            0.026834,                   0,            0.010045,            0.010045,            0.010045
                  85,            0.016382,            0.029048,                   0,             0.66519,              0.6954,             0.75046,             0.49415,            0.024528,            0.021432,                   0,            0.010021,            0.010021,            0.010021
                  86,            0.017693,             0.02914,                   0,             0.81678,                0.85,             0.90467,             0.59663,            0.022636,            0.016988,                   0,            0.009997,            0.009997,            0.009997
                  87,            0.017152,             0.02873,                   0,             0.71593,              0.8375,             0.85861,             0.55768,            0.021107,            0.018292,                   0,           0.0099732,           0.0099732,           0.0099732
                  88,            0.018561,            0.029614,                   0,              0.5469,               0.925,               0.639,             0.39563,            0.021339,            0.018365,                   0,           0.0099494,           0.0099494,           0.0099494
                  89,            0.018394,            0.028938,                   0,             0.53733,                0.95,             0.55898,             0.35254,             0.02034,            0.019301,                   0,           0.0099256,           0.0099256,           0.0099256
                  90,            0.016278,            0.029766,                   0,             0.59659,              0.9125,              0.6234,             0.34917,            0.023551,            0.023264,                   0,           0.0099018,           0.0099018,           0.0099018
                  91,            0.017422,            0.027923,                   0,             0.54079,               0.925,             0.59786,             0.33843,            0.022408,            0.023658,                   0,            0.009878,            0.009878,            0.009878
                  92,            0.017485,            0.029349,                   0,             0.56322,             0.83817,             0.61814,             0.33879,            0.020594,            0.022397,                   0,           0.0098542,           0.0098542,           0.0098542
                  93,            0.017539,            0.029047,                   0,             0.59861,              0.8389,             0.70754,             0.37663,            0.020035,            0.021337,                   0,           0.0098304,           0.0098304,           0.0098304
                  94,            0.016886,            0.028964,                   0,             0.59502,                 0.9,             0.73548,             0.44083,            0.018639,            0.019498,                   0,           0.0098066,           0.0098066,           0.0098066
                  95,            0.017911,            0.029844,                   0,             0.60295,               0.875,             0.73123,             0.44175,            0.020226,            0.020208,                   0,           0.0097828,           0.0097828,           0.0097828
                  96,             0.01638,            0.029094,                   0,             0.64827,             0.85244,             0.76087,             0.47446,            0.019802,            0.018088,                   0,            0.009759,            0.009759,            0.009759
                  97,            0.017625,            0.027958,                   0,             0.73185,                0.85,             0.80743,             0.49147,            0.021316,             0.01803,                   0,           0.0097352,           0.0097352,           0.0097352
                  98,            0.019013,            0.028444,                   0,             0.69656,               0.825,             0.81163,             0.50846,            0.020432,            0.019425,                   0,           0.0097114,           0.0097114,           0.0097114
                  99,            0.016798,            0.028887,                   0,             0.73215,              0.7375,             0.80452,              0.5696,            0.018467,            0.017185,                   0,           0.0096876,           0.0096876,           0.0096876
