               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  38,            0.024367,            0.036202,                   0,             0.45102,                 0.3,             0.26136,            0.074248,            0.049281,            0.033006,                   0,             0.01113,             0.01113,             0.01113
                  39,            0.024444,            0.035257,                   0,             0.38972,               0.475,             0.32894,             0.14047,            0.028239,            0.052232,                   0,            0.011107,            0.011107,            0.011107
                  40,            0.023885,             0.03722,                   0,             0.71066,             0.46056,             0.53718,             0.23241,             0.03408,            0.044761,                   0,            0.011083,            0.011083,            0.011083
                  41,            0.027147,            0.035935,                   0,             0.38764,                 0.3,              0.2754,            0.092086,             0.03821,            0.034144,                   0,            0.011059,            0.011059,            0.011059
                  42,            0.028405,            0.037447,                   0,             0.25268,             0.43112,             0.21243,             0.07608,            0.030245,            0.053505,                   0,            0.011035,            0.011035,            0.011035
                  43,            0.022972,            0.037157,                   0,             0.55472,                 0.5,             0.43581,             0.13982,            0.028887,            0.036192,                   0,            0.011012,            0.011012,            0.011012
                  44,            0.023688,            0.034722,                   0,             0.61781,               0.425,             0.46633,             0.16945,            0.045465,            0.032326,                   0,            0.010988,            0.010988,            0.010988
                  45,            0.024377,            0.035454,                   0,             0.42109,              0.4625,             0.26862,            0.064235,            0.044567,            0.040026,                   0,            0.010964,            0.010964,            0.010964
                  46,            0.023115,            0.037185,                   0,             0.75111,              0.5125,             0.56078,             0.23187,            0.029436,             0.03318,                   0,             0.01094,             0.01094,             0.01094
                  47,            0.022018,            0.036219,                   0,             0.44473,              0.5125,             0.50815,             0.22565,            0.025723,            0.033464,                   0,            0.010916,            0.010916,            0.010916
                  48,            0.021749,            0.036288,                   0,             0.39434,              0.6125,             0.35776,              0.1341,            0.032378,            0.027986,                   0,            0.010893,            0.010893,            0.010893
                  49,            0.023084,            0.033948,                   0,             0.59156,               0.575,              0.6746,             0.24998,            0.025649,            0.031749,                   0,            0.010869,            0.010869,            0.010869
                  50,            0.023125,             0.03618,                   0,             0.36759,              0.7875,              0.3691,             0.17216,             0.02688,             0.02846,                   0,            0.010845,            0.010845,            0.010845
                  51,            0.023323,               0.036,                   0,             0.49575,              0.8125,             0.51713,             0.24509,            0.023271,            0.031298,                   0,            0.010821,            0.010821,            0.010821
                  52,            0.023838,             0.03616,                   0,             0.50473,               0.825,             0.54593,             0.25615,            0.022209,            0.031583,                   0,            0.010798,            0.010798,            0.010798
                  53,            0.024915,            0.036947,                   0,             0.51758,              0.7108,             0.57193,             0.28246,            0.026991,            0.030152,                   0,            0.010774,            0.010774,            0.010774
                  54,            0.021489,            0.036577,                   0,             0.47927,                 0.9,             0.56428,             0.24819,            0.025068,            0.026156,                   0,             0.01075,             0.01075,             0.01075
                  55,            0.022137,            0.035635,                   0,             0.34507,             0.67179,              0.3821,             0.15599,             0.03554,            0.036128,                   0,            0.010726,            0.010726,            0.010726
                  56,            0.021149,            0.035273,                   0,             0.42037,                0.75,             0.49902,             0.25348,            0.026448,            0.033654,                   0,            0.010703,            0.010703,            0.010703
                  57,            0.020759,            0.034507,                   0,             0.58281,                0.65,             0.67358,              0.3382,            0.024881,            0.028231,                   0,            0.010679,            0.010679,            0.010679
                  58,            0.022431,            0.035957,                   0,             0.35558,              0.3375,             0.24652,            0.092297,            0.047764,            0.026053,                   0,            0.010655,            0.010655,            0.010655
                  59,            0.023712,            0.034548,                   0,             0.63344,               0.675,             0.65015,             0.33185,            0.029401,            0.025069,                   0,            0.010631,            0.010631,            0.010631
                  60,            0.023599,            0.033569,                   0,             0.70537,                 0.6,             0.71358,             0.33144,            0.027636,            0.024891,                   0,            0.010607,            0.010607,            0.010607
                  61,             0.02065,            0.035752,                   0,             0.79488,               0.725,             0.79835,             0.40192,            0.024453,             0.02414,                   0,            0.010584,            0.010584,            0.010584
                  62,            0.021521,            0.034235,                   0,             0.70283,              0.6125,             0.68462,             0.39001,            0.024411,            0.026341,                   0,             0.01056,             0.01056,             0.01056
                  63,            0.022079,             0.03489,                   0,             0.62435,                0.55,              0.6445,             0.31346,            0.027558,            0.026808,                   0,            0.010536,            0.010536,            0.010536
                  64,            0.021723,            0.034832,                   0,             0.75324,             0.61052,             0.72976,             0.35826,            0.026954,            0.026191,                   0,            0.010512,            0.010512,            0.010512
                  65,            0.021095,            0.035694,                   0,             0.56226,             0.81888,             0.61306,             0.31166,            0.024604,            0.025579,                   0,            0.010489,            0.010489,            0.010489
                  66,            0.021671,            0.034976,                   0,             0.47016,               0.825,             0.51127,             0.25596,            0.026448,            0.025741,                   0,            0.010465,            0.010465,            0.010465
                  67,            0.021829,             0.03308,                   0,             0.65616,              0.7625,             0.71385,              0.2722,            0.033001,            0.027405,                   0,            0.010441,            0.010441,            0.010441
                  68,            0.020973,            0.033872,                   0,             0.42788,             0.77595,              0.4528,             0.23526,            0.020232,            0.028721,                   0,            0.010417,            0.010417,            0.010417
                  69,            0.020386,            0.033973,                   0,              0.5829,             0.82105,             0.68933,             0.30333,            0.025372,            0.024962,                   0,            0.010393,            0.010393,            0.010393
                  70,            0.019767,            0.033543,                   0,             0.48282,              0.8125,             0.61338,             0.29986,            0.024945,            0.025788,                   0,             0.01037,             0.01037,             0.01037
                  71,            0.020456,            0.036223,                   0,               0.525,               0.825,             0.63573,              0.2888,            0.029258,            0.023531,                   0,            0.010346,            0.010346,            0.010346
                  72,            0.023169,            0.033129,                   0,             0.56613,             0.65244,             0.66856,             0.33224,            0.028178,            0.024863,                   0,            0.010322,            0.010322,            0.010322
                  73,            0.021703,            0.033449,                   0,             0.49811,              0.7625,             0.52782,             0.25431,            0.026236,            0.024776,                   0,            0.010298,            0.010298,            0.010298
                  74,            0.019695,            0.033746,                   0,             0.53443,             0.86094,             0.64814,             0.41016,            0.022884,            0.023108,                   0,            0.010275,            0.010275,            0.010275
                  75,            0.019887,            0.034578,                   0,             0.52348,                 0.8,             0.60072,             0.28294,            0.026202,            0.027377,                   0,            0.010251,            0.010251,            0.010251
                  76,            0.021241,            0.034229,                   0,             0.73304,             0.78946,             0.80103,             0.37227,            0.028464,             0.02327,                   0,            0.010227,            0.010227,            0.010227
